Episodes,Returns,Lengths
0.0,76.09604897182864,148.0
0.25,85.68460220449626,150.6
0.5,106.6270115177648,155.1
0.75,117.44062691724643,159.05
1.0,138.6629792721736,163.8
1.25,208.45937748568184,177.5
1.5,306.7701173426509,196.65
1.75,414.97709472569056,219.95
2.0,528.111099067855,242.6
2.25,629.661903874447,265.75
2.5,720.7365907146147,288.3
2.75,792.190092839136,311.5
3.0,862.1558282435262,334.1
3.25,943.1340093590209,356.3
3.5,1025.7765178321774,379.0
3.75,1099.885554624623,400.95
4.0,1154.853234869911,422.75
4.25,1210.066961146317,444.75
4.5,1259.5741236840681,466.2
4.75,1328.3539659501037,488.05
5.0,1404.510455547638,509.5
5.25,1477.8504231002464,530.2
5.5,1546.2137643780682,548.9
5.75,1622.745785797687,568.05
6.0,1689.8322611059084,586.3
6.25,1709.0700703169252,595.85
6.5,1702.3641506465458,600.0
6.75,1677.1493402708263,600.0
7.0,1654.3272169564807,600.0
7.25,1658.1440008495151,600.0
7.5,1654.2893439371596,600.0
7.75,1664.3903873251504,600.0
8.0,1676.9565004722724,600.0
8.25,1676.194442336006,600.0
8.5,1678.2252688948308,600.0
8.75,1698.1510015208944,600.0
9.0,1709.8771552352366,600.0
9.25,1722.4173955930783,600.0
9.5,1745.1858785532943,600.0
9.75,1740.0537347824302,600.0
10.0,1747.65838189401,600.0
10.25,1755.2709722872157,600.0
10.5,1749.4147032507008,600.0
10.75,1733.3977242745773,600.0
11.0,1731.8962108321962,600.0
11.25,1719.8146237969074,600.0
11.5,1717.9425732239647,600.0
11.75,1723.9845590165146,600.0
12.0,1697.3060491635424,600.0
12.25,1666.8018574281293,600.0
12.5,1659.5552647754917,600.0
12.75,1648.8992526715144,600.0
13.0,1647.1778013183164,600.0
13.25,1645.9877655323235,600.0
13.5,1642.0521145015596,600.0
13.75,1601.647579717353,600.0
14.0,1586.2525813896211,600.0
14.25,1595.4769797861309,600.0
14.5,1568.3402321752906,600.0
14.75,1567.8249932068259,600.0
15.0,1558.5780307278499,600.0
15.25,1540.620117160955,600.0
15.5,1537.5357999476685,600.0
15.75,1545.542685545483,600.0
16.0,1538.4017588684253,600.0
16.25,1532.991904065656,600.0
16.5,1527.0066912779262,600.0
16.75,1519.8508195697882,600.0
17.0,1521.1302092057595,600.0
17.25,1526.5493591852655,600.0
17.5,1524.9011935620324,600.0
17.75,1502.165918313854,600.0
18.0,1486.478142326548,600.0
18.25,1474.482214662919,600.0
18.5,1464.7774524810454,600.0
18.75,1474.6461386751869,600.0
19.0,1499.8547865318828,600.0
19.25,1500.719549503335,600.0
19.5,1521.6045448662717,600.0
19.75,1535.6392734647397,600.0
20.0,1503.1600798627248,600.0
20.25,1511.492148290258,600.0
20.5,1511.9064241796564,600.0
20.75,1512.0988925187403,600.0
21.0,1511.9435488403512,600.0
21.25,1511.9892263707402,600.0
21.5,1501.076243842071,600.0
21.75,1485.5467105359562,600.0
22.0,1466.8636696527783,600.0
22.25,1466.7090794712926,600.0
22.5,1433.6937430184598,600.0
22.75,1467.630993951394,600.0
23.0,1483.1508292530511,600.0
23.25,1494.2120256746064,600.0
23.5,1470.8945590797282,600.0
23.75,1470.8945590797282,600.0
24.0,1471.0539396790748,600.0
24.25,1471.1088244985851,600.0
24.5,1470.7093051548468,600.0
24.75,1461.0471739969314,600.0
25.0,1493.9146696946095,600.0
25.25,1479.8672124433274,600.0
25.5,1470.0089711587948,600.0
25.75,1470.0803589125376,600.0
26.0,1470.227827584251,600.0
26.25,1465.7559267452227,600.0
26.5,1475.6112078863753,600.0
26.75,1475.6112078863753,600.0
27.0,1508.6246234025746,600.0
27.25,1475.7297084973761,600.0
27.5,1498.8181041526082,600.0
27.75,1497.590473472272,600.0
28.0,1496.3548542797646,600.0
28.25,1485.3907031554406,600.0
28.5,1508.7702850465453,600.0
28.75,1490.0648547187436,600.0
29.0,1488.7767312349292,600.0
29.25,1474.394397338096,600.0
29.5,1485.2717103538223,600.0
29.75,1494.9716227826605,600.0
30.0,1480.7249869272337,600.0
30.25,1462.0520312402637,600.0
30.5,1473.046359729508,600.0
30.75,1457.51256857434,600.0
31.0,1447.8060421865098,600.0
31.25,1429.1054781907094,600.0
31.5,1419.1464293044385,600.0
31.75,1433.4157901087435,600.0
32.0,1433.4205171365927,600.0
32.25,1466.3745526727412,600.0
32.5,1477.4176688658079,600.0
32.75,1478.9023033098922,600.0
33.0,1469.1980093303189,600.0
33.25,1469.2081963604219,600.0
33.5,1480.1201497936775,600.0
33.75,1513.094940925784,600.0
34.0,1514.4449397482424,600.0
34.25,1514.4449397482422,600.0
34.5,1498.871041600308,600.0
34.75,1500.2242253007357,600.0
35.0,1500.2242253007357,600.0
35.25,1518.9058157897882,600.0
35.5,1518.9542170878462,600.0
35.75,1500.2726265987935,600.0
36.0,1495.7097921823186,600.0
36.25,1529.9923394119774,600.0
36.5,1539.8213707615782,600.0
36.75,1506.870419468221,600.0
37.0,1508.204214802548,600.0
37.25,1475.2581723109847,600.0
37.5,1473.9398244238396,600.0
37.75,1473.6676822387521,600.0
38.0,1483.3673171810535,600.0
38.25,1478.7942708914659,600.0
38.5,1478.7777672921893,600.0
38.75,1464.5084064878843,600.0
39.0,1453.47829663884,600.0
39.25,1469.0637604260914,600.0
39.5,1483.3198469646268,600.0
39.75,1449.0351003369424,600.0
40.0,1464.6382564755743,600.0
40.25,1464.6382564755743,600.0
40.5,1430.367970512641,600.0
40.75,1464.6282747138164,600.0
41.0,1464.6282747138164,600.0
41.25,1464.6440219653682,600.0
41.5,1450.3746611610632,600.0
41.75,1473.6292979397035,600.0
42.0,1472.2955026053764,600.0
42.25,1495.5501393840166,600.0
42.5,1462.5991880906593,600.0
42.75,1447.1361674815926,600.0
43.0,1448.483048618447,600.0
43.25,1453.0560949080345,600.0
43.5,1437.4694423686792,600.0
